ISO_4217_alpha,ISO_4217_numeric,currency_or_fund_name,display_symbol,symbol_guidance,minor_unit,classification,entities_or_territories
AED,784,UAE Dirham,د.إ,Conventional display symbol or local abbreviation; pair it with the ISO code when ambiguity matters.,2,Currency,UNITED ARAB EMIRATES (THE)
AFN,971,Afghani,؋,Conventional display symbol or local abbreviation; pair it with the ISO code when ambiguity matters.,2,Currency,AFGHANISTAN
ALL,008,Lek,L,Conventional display symbol or local abbreviation; pair it with the ISO code when ambiguity matters.,2,Currency,ALBANIA
AMD,051,Armenian Dram,֏,Conventional display symbol or local abbreviation; pair it with the ISO code when ambiguity matters.,2,Currency,ARMENIA
AOA,973,Kwanza,Kz,Conventional display symbol or local abbreviation; pair it with the ISO code when ambiguity matters.,2,Currency,ANGOLA
ARS,032,Argentine Peso,$,Conventional display symbol or local abbreviation; pair it with the ISO code when ambiguity matters.,2,Currency,ARGENTINA
AUD,036,Australian Dollar,$,Conventional display symbol or local abbreviation; pair it with the ISO code when ambiguity matters.,2,Currency,AUSTRALIA; CHRISTMAS ISLAND; COCOS (KEELING) ISLANDS (THE); HEARD ISLAND AND McDONALD ISLANDS; KIRIBATI; NAURU; NORFOLK ISLAND; TUVALU
AWG,533,Aruban Florin,ƒ,Conventional display symbol or local abbreviation; pair it with the ISO code when ambiguity matters.,2,Currency,ARUBA
AZN,944,Azerbaijan Manat,₼,Conventional display symbol or local abbreviation; pair it with the ISO code when ambiguity matters.,2,Currency,AZERBAIJAN
BAM,977,Convertible Mark,KM,Conventional display symbol or local abbreviation; pair it with the ISO code when ambiguity matters.,2,Currency,BOSNIA AND HERZEGOVINA
BBD,052,Barbados Dollar,$,Conventional display symbol or local abbreviation; pair it with the ISO code when ambiguity matters.,2,Currency,BARBADOS
BDT,050,Taka,৳,Conventional display symbol or local abbreviation; pair it with the ISO code when ambiguity matters.,2,Currency,BANGLADESH
BHD,048,Bahraini Dinar,د.ب,Conventional display symbol or local abbreviation; pair it with the ISO code when ambiguity matters.,3,Currency,BAHRAIN
BIF,108,Burundi Franc,FBu,Conventional display symbol or local abbreviation; pair it with the ISO code when ambiguity matters.,0,Currency,BURUNDI
BMD,060,Bermudian Dollar,$,Conventional display symbol or local abbreviation; pair it with the ISO code when ambiguity matters.,2,Currency,BERMUDA
BND,096,Brunei Dollar,$,Conventional display symbol or local abbreviation; pair it with the ISO code when ambiguity matters.,2,Currency,BRUNEI DARUSSALAM
BOB,068,Boliviano,Bs,Conventional display symbol or local abbreviation; pair it with the ISO code when ambiguity matters.,2,Currency,BOLIVIA (PLURINATIONAL STATE OF)
BOV,984,Mvdol,Mvdol,"Market, fund, metal, or accounting-unit abbreviation; not a universal retail symbol.",2,Fund / indexed unit,BOLIVIA (PLURINATIONAL STATE OF)
BRL,986,Brazilian Real,R$,Conventional display symbol or local abbreviation; pair it with the ISO code when ambiguity matters.,2,Currency,BRAZIL
